"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","LANDBIRD"
"","YTTO","","Yellow-throated Toucan","Ramphastos ambiguus","RAMAMB","",TRUE
"","OLPI","","Olivaceous Piculet","Picumnus olivaceus","PICOLI","",TRUE
"","LEWO","","Lewis's Woodpecker","Melanerpes lewis","MELLEW","",TRUE
"","RHWO","","Red-headed Woodpecker","Melanerpes erythrocephalus","MELERY","",TRUE
"","ACWO","","Acorn Woodpecker","Melanerpes formicivorus","MELFOR","",TRUE
"","GNWO","","Golden-naped Woodpecker","Melanerpes chrysauchen","MELCHC","*",TRUE
"","BCWO","","Black-cheeked Woodpecker","Melanerpes pucherani","MELPUC","",TRUE
"","GCHW","*","Golden-cheeked Woodpecker","Melanerpes chrysogenys","MELCHG","*",TRUE
"","GBWO","","Gray-breasted Woodpecker","Melanerpes hypopolius","MELHYI","*",TRUE
"","YUWO","","Yucatan Woodpecker","Melanerpes pygmaeus","MELPYG","",TRUE
"","RCRW","*","Red-crowned Woodpecker","Melanerpes rubricapillus","MELRUB","",TRUE
"","GIWO","","Gila Woodpecker","Melanerpes uropygialis","MELURO","",TRUE
"","HOWO","","Hoffmann's Woodpecker","Melanerpes hoffmannii","MELHOF","",TRUE
"","GFWO","","Golden-fronted Woodpecker","Melanerpes aurifrons","MELAUR","",TRUE
"","RBWO","","Red-bellied Woodpecker","Melanerpes carolinus","MELCAR","",TRUE
"","WISA","","Williamson's Sapsucker","Sphyrapicus thyroideus","SPHTHY","",TRUE
"","YBSA","","Yellow-bellied Sapsucker","Sphyrapicus varius","SPHVAR","",TRUE
"","RNSA","","Red-naped Sapsucker","Sphyrapicus nuchalis","SPHNUC","",TRUE
"","RBSA","","Red-breasted Sapsucker","Sphyrapicus ruber","SPHRUB","",TRUE
"","ATTW","","American Three-toed Woodpecker","Picoides dorsalis","PICDOR","",TRUE
"","BBWO","","Black-backed Woodpecker","Picoides arcticus","PICARC","",TRUE
"","DOWO","","Downy Woodpecker","Dryobates pubescens","DRYPUB","",TRUE
"","NUWO","","Nuttall's Woodpecker","Dryobates nuttallii","DRYNUT","",TRUE
"","LBWO","","Ladder-backed Woodpecker","Dryobates scalaris","DRYSCA","",TRUE
"","RCWO","","Red-cockaded Woodpecker","Dryobates borealis","DRYBOR","",TRUE
"","HAWO","","Hairy Woodpecker","Dryobates villosus","DRYVIL","",TRUE
"","WHWO","","White-headed Woodpecker","Dryobates albolarvatus","DRYALB","",TRUE
"","SMBW","*","Smoky-brown Woodpecker","Dryobates fumigatus","DRYFUM","",TRUE
"","ARWO","","Arizona Woodpecker","Dryobates arizonae","DRYARI","",TRUE
"","STCW","*","Strickland's Woodpecker","Dryobates stricklandi","DRYSTR","",TRUE
"","RRWO","","Red-rumped Woodpecker","Dryobates kirkii","DRYKIR","",TRUE
"","RWWO","","Rufous-winged Woodpecker","Piculus simplex","PICSIM","",TRUE
"","SCHW","*","Stripe-cheeked Woodpecker","Piculus callopterus","PICCAL","",TRUE
"","GGWO","","Golden-green Woodpecker","Piculus chrysochloros","PICCHR","",TRUE
"","GOWO","","Golden-olive Woodpecker","Colaptes rubiginosus","COLRUB","",TRUE
"","GRCW","*","Gray-crowned Woodpecker","Colaptes auricularis","COLAUC","*",TRUE
"","SBWP","*","Spot-breasted Woodpecker","Colaptes punctigula","COLPUN","",TRUE
"","NOFL","","Northern Flicker","Colaptes auratus","COLAUT","*",TRUE
"","GIFL","","Gilded Flicker","Colaptes chrysoides","COLCHR","",TRUE
"","CIWO","","Cinnamon Woodpecker","Celeus loricatus","CELLOR","",TRUE
"","CCOW","*","Chestnut-colored Woodpecker","Celeus castaneus","CELCAS","",TRUE
"","LIWO","","Lineated Woodpecker","Dryocopus lineatus","DRYLIN","",TRUE
"","PIWO","","Pileated Woodpecker","Dryocopus pileatus","DRYPIL","",TRUE
"","CBWO","","Crimson-bellied Woodpecker","Campephilus haematogaster","CAMHAE","",TRUE
"","CCRW","*","Crimson-crested Woodpecker","Campephilus melanoleucos","CAMMEL","",TRUE
"","PBIW","*","Pale-billed Woodpecker","Campephilus guatemalensis","CAMGUA","",TRUE
"","IBWO","","Ivory-billed Woodpecker","Campephilus principalis","CAMPRI","",TRUE
"","IMWO","","Imperial Woodpecker","Campephilus imperialis","CAMIMP","",TRUE
"","LAFA","","Laughing Falcon","Herpetotheres cachinnans","HERCAC","",TRUE
"","BAFF","","Barred Forest-Falcon","Micrastur ruficollis","MICRUF","",TRUE
"","SBFF","","Slaty-backed Forest-Falcon","Micrastur mirandollei","MICMIR","",TRUE
"","COFF","","Collared Forest-Falcon","Micrastur semitorquatus","MICSEM","",TRUE
